doc_id,filename,year,cosl_decade,raw_word_count,term,pattern,count
14_subordinate_legislation_4_2005,14_Subordinate_Legislation_4_2005.txt,2005,2004-2013,5964,delay_family,\b(delays?|delayed|delaying)\b,21
14_subordinate_legislation_4_2005,14_Subordinate_Legislation_4_2005.txt,2005,2004-2013,5964,action_taken,\baction\s+taken\b,23
14_subordinate_legislation_4_2005,14_Subordinate_Legislation_4_2005.txt,2005,2004-2013,5964,recruitment,\brecruitment\b,4
14_subordinate_legislation_5_2005,14_Subordinate_Legislation_5_2005.txt,2005,2004-2013,8643,delay_exact,\bdelay\b,10
14_subordinate_legislation_5_2005,14_Subordinate_Legislation_5_2005.txt,2005,2004-2013,8643,delay_family,\b(delays?|delayed|delaying)\b,12
14_subordinate_legislation_5_2005,14_Subordinate_Legislation_5_2005.txt,2005,2004-2013,8643,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_5_2005,14_Subordinate_Legislation_5_2005.txt,2005,2004-2013,8643,recruitment,\brecruitment\b,14
14_subordinate_legislation_6_2005,14_Subordinate_Legislation_6_2005.txt,2005,2004-2013,5773,delay_exact,\bdelay\b,22
14_subordinate_legislation_6_2005,14_Subordinate_Legislation_6_2005.txt,2005,2004-2013,5773,delay_family,\b(delays?|delayed|delaying)\b,25
14_subordinate_legislation_6_2005,14_Subordinate_Legislation_6_2005.txt,2005,2004-2013,5773,action_taken,\baction\s+taken\b,14
14_subordinate_legislation_6_2005,14_Subordinate_Legislation_6_2005.txt,2005,2004-2013,5773,recruitment,\brecruitment\b,17
14_subordinate_legislation_7_2005,14_Subordinate_Legislation_7_2005.txt,2005,2004-2013,4586,delay_exact,\bdelay\b,0
14_subordinate_legislation_7_2005,14_Subordinate_Legislation_7_2005.txt,2005,2004-2013,4586,delay_family,\b(delays?|delayed|delaying)\b,0
14_subordinate_legislation_7_2005,14_Subordinate_Legislation_7_2005.txt,2005,2004-2013,4586,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_7_2005,14_Subordinate_Legislation_7_2005.txt,2005,2004-2013,4586,recruitment,\brecruitment\b,11
14_subordinate_legislation_8_2005,14_Subordinate_Legislation_8_2005.txt,2005,2004-2013,7499,delay_exact,\bdelay\b,12
14_subordinate_legislation_8_2005,14_Subordinate_Legislation_8_2005.txt,2005,2004-2013,7499,delay_family,\b(delays?|delayed|delaying)\b,12
14_subordinate_legislation_8_2005,14_Subordinate_Legislation_8_2005.txt,2005,2004-2013,7499,action_taken,\baction\s+taken\b,0
14_subordinate_legislation_8_2005,14_Subordinate_Legislation_8_2005.txt,2005,2004-2013,7499,recruitment,\brecruitment\b,0
14_subordinate_legislation_9_2005,14_Subordinate_Legislation_9_2005.txt,2005,2004-2013,4550,delay_exact,\bdelay\b,3
14_subordinate_legislation_9_2005,14_Subordinate_Legislation_9_2005.txt,2005,2004-2013,4550,delay_family,\b(delays?|delayed|delaying)\b,5
14_subordinate_legislation_9_2005,14_Subordinate_Legislation_9_2005.txt,2005,2004-2013,4550,action_taken,\baction\s+taken\b,17
14_subordinate_legislation_9_2005,14_Subordinate_Legislation_9_2005.txt,2005,2004-2013,4550,recruitment,\brecruitment\b,2
15_subordinate_legislation_10_2010,15_Subordinate_Legislation_10_2010.txt,2010,2004-2013,7766,delay_exact,\bdelay\b,1
15_subordinate_legislation_10_2010,15_Subordinate_Legislation_10_2010.txt,2010,2004-2013,7766,delay_family,\b(delays?|delayed|delaying)\b,1
15_subordinate_legislation_10_2010,15_Subordinate_Legislation_10_2010.txt,2010,2004-2013,7766,action_taken,\baction\s+taken\b,13
15_subordinate_legislation_10_2010,15_Subordinate_Legislation_10_2010.txt,2010,2004-2013,7766,recruitment,\brecruitment\b,1
15_subordinate_legislation_13_2010,15_Subordinate_Legislation_13_2010.txt,2010,2004-2013,3119,delay_exact,\bdelay\b,1
15_subordinate_legislation_13_2010,15_Subordinate_Legislation_13_2010.txt,2010,2004-2013,3119,delay_family,\b(delays?|delayed|delaying)\b,1
15_subordinate_legislation_13_2010,15_Subordinate_Legislation_13_2010.txt,2010,2004-2013,3119,action_taken,\baction\s+taken\b,15
15_subordinate_legislation_13_2010,15_Subordinate_Legislation_13_2010.txt,2010,2004-2013,3119,recruitment,\brecruitment\b,20
15_subordinate_legislation_14_2010,15_Subordinate_Legislation_14_2010.txt,2010,2004-2013,8016,delay_exact,\bdelay\b,0
15_subordinate_legislation_14_2010,15_Subordinate_Legislation_14_2010.txt,2010,2004-2013,8016,delay_family,\b(delays?|delayed|delaying)\b,0
15_subordinate_legislation_14_2010,15_Subordinate_Legislation_14_2010.txt,2010,2004-2013,8016,action_taken,\baction\s+taken\b,3
15_subordinate_legislation_14_2010,15_Subordinate_Legislation_14_2010.txt,2010,2004-2013,8016,recruitment,\brecruitment\b,9
15_subordinate_legislation_15_2010,15_Subordinate_Legislation_15_2010.txt,2010,2004-2013,3414,delay_exact,\bdelay\b,2
15_subordinate_legislation_15_2010,15_Subordinate_Legislation_15_2010.txt,2010,2004-2013,3414,delay_family,\b(delays?|delayed|delaying)\b,2
15_subordinate_legislation_15_2010,15_Subordinate_Legislation_15_2010.txt,2010,2004-2013,3414,action_taken,\baction\s+taken\b,12
15_subordinate_legislation_15_2010,15_Subordinate_Legislation_15_2010.txt,2010,2004-2013,3414,recruitment,\brecruitment\b,0
15_subordinate_legislation_16_2011,15_Subordinate_Legislation_16_2011.txt,2011,2004-2013,4457,delay_exact,\bdelay\b,30
15_subordinate_legislation_16_2011,15_Subordinate_Legislation_16_2011.txt,2011,2004-2013,4457,delay_family,\b(delays?|delayed|delaying)\b,30
15_subordinate_legislation_16_2011,15_Subordinate_Legislation_16_2011.txt,2011,2004-2013,4457,action_taken,\baction\s+taken\b,0
15_subordinate_legislation_16_2011,15_Subordinate_Legislation_16_2011.txt,2011,2004-2013,4457,recruitment,\brecruitment\b,0
15_subordinate_legislation_17_2011,15_Subordinate_Legislation_17_2011.txt,2011,2004-2013,3450,delay_exact,\bdelay\b,0
15_subordinate_legislation_17_2011,15_Subordinate_Legislation_17_2011.txt,2011,2004-2013,3450,delay_family,\b(delays?|delayed|delaying)\b,0
15_subordinate_legislation_17_2011,15_Subordinate_Legislation_17_2011.txt,2011,2004-2013,3450,action_taken,\baction\s+taken\b,2
15_subordinate_legislation_17_2011,15_Subordinate_Legislation_17_2011.txt,2011,2004-2013,3450,recruitment,\brecruitment\b,12
15_subordinate_legislation_18_2011,15_Subordinate_Legislation_18_2011.txt,2011,2004-2013,2327,delay_exact,\bdelay\b,4
15_subordinate_legislation_18_2011,15_Subordinate_Legislation_18_2011.txt,2011,2004-2013,2327,delay_family,\b(delays?|delayed|delaying)\b,5
15_subordinate_legislation_18_2011,15_Subordinate_Legislation_18_2011.txt,2011,2004-2013,2327,action_taken,\baction\s+taken\b,12
15_subordinate_legislation_18_2011,15_Subordinate_Legislation_18_2011.txt,2011,2004-2013,2327,recruitment,\brecruitment\b,0
15_subordinate_legislation_19_2011,15_Subordinate_Legislation_19_2011.txt,2011,2004-2013,3674,delay_exact,\bdelay\b,23
15_subordinate_legislation_19_2011,15_Subordinate_Legislation_19_2011.txt,2011,2004-2013,3674,delay_family,\b(delays?|delayed|delaying)\b,25
15_subordinate_legislation_19_2011,15_Subordinate_Legislation_19_2011.txt,2011,2004-2013,3674,action_taken,\baction\s+taken\b,1
15_subordinate_legislation_19_2011,15_Subordinate_Legislation_19_2011.txt,2011,2004-2013,3674,recruitment,\brecruitment\b,0
15_subordinate_legislation_20_2011,15_Subordinate_Legislation_20_2011.txt,2011,2004-2013,3234,delay_exact,\bdelay\b,0
15_subordinate_legislation_20_2011,15_Subordinate_Legislation_20_2011.txt,2011,2004-2013,3234,delay_family,\b(delays?|delayed|delaying)\b,0
15_subordinate_legislation_20_2011,15_Subordinate_Legislation_20_2011.txt,2011,2004-2013,3234,action_taken,\baction\s+taken\b,14
15_subordinate_legislation_20_2011,15_Subordinate_Legislation_20_2011.txt,2011,2004-2013,3234,recruitment,\brecruitment\b,16
15_subordinate_legislation_21_2011,15_Subordinate_Legislation_21_2011.txt,2011,2004-2013,13206,delay_exact,\bdelay\b,66
15_subordinate_legislation_21_2011,15_Subordinate_Legislation_21_2011.txt,2011,2004-2013,13206,delay_family,\b(delays?|delayed|delaying)\b,71
15_subordinate_legislation_21_2011,15_Subordinate_Legislation_21_2011.txt,2011,2004-2013,13206,action_taken,\baction\s+taken\b,20
15_subordinate_legislation_21_2011,15_Subordinate_Legislation_21_2011.txt,2011,2004-2013,13206,recruitment,\brecruitment\b,0
15_subordinate_legislation_22_2011,15_Subordinate_Legislation_22_2011.txt,2011,2004-2013,5233,delay_exact,\bdelay\b,13
15_subordinate_legislation_22_2011,15_Subordinate_Legislation_22_2011.txt,2011,2004-2013,5233,delay_family,\b(delays?|delayed|delaying)\b,15
15_subordinate_legislation_22_2011,15_Subordinate_Legislation_22_2011.txt,2011,2004-2013,5233,action_taken,\baction\s+taken\b,0
15_subordinate_legislation_22_2011,15_Subordinate_Legislation_22_2011.txt,2011,2004-2013,5233,recruitment,\brecruitment\b,41
15_subordinate_legislation_23_2012,15_Subordinate_Legislation_23_2012.txt,2012,2004-2013,4507,delay_exact,\bdelay\b,18
15_subordinate_legislation_23_2012,15_Subordinate_Legislation_23_2012.txt,2012,2004-2013,4507,delay_family,\b(delays?|delayed|delaying)\b,20
15_subordinate_legislation_23_2012,15_Subordinate_Legislation_23_2012.txt,2012,2004-2013,4507,action_taken,\baction\s+taken\b,4
15_subordinate_legislation_23_2012,15_Subordinate_Legislation_23_2012.txt,2012,2004-2013,4507,recruitment,\brecruitment\b,12
