term,pattern,year,total_count,n_reports,total_words,total_instruments,per_10000_words,count_per_report,count_per_instrument
delay_family,\b(delays?|delayed|delaying)\b,1968,21,3,33093,,6.345752878252198,7.0,
delay_family,\b(delays?|delayed|delaying)\b,1970,16,4,108326,,1.4770230600225247,4.0,
delay_family,\b(delays?|delayed|delaying)\b,1971,9,2,29235,,3.078501795792714,4.5,
delay_family,\b(delays?|delayed|delaying)\b,1972,104,3,80698,,12.8875560732608,34.666666666666664,
delay_family,\b(delays?|delayed|delaying)\b,1973,100,4,99305,,10.069986405518351,25.0,
delay_family,\b(delays?|delayed|delaying)\b,1974,343,6,212499,,16.141252429423197,57.166666666666664,
delay_family,\b(delays?|delayed|delaying)\b,1975,47,2,43656,,10.765988638446032,23.5,
delay_family,\b(delays?|delayed|delaying)\b,1976,165,3,100433,,16.428863023109933,55.0,
delay_family,\b(delays?|delayed|delaying)\b,1977,264,5,120485,,21.911441258247915,52.8,
delay_family,\b(delays?|delayed|delaying)\b,1978,178,9,200366,,8.883742750766098,19.77777777777778,
delay_family,\b(delays?|delayed|delaying)\b,1979,33,6,91530,,3.605375286791216,5.5,
delay_family,\b(delays?|delayed|delaying)\b,1980,34,4,58326,,5.829304255392106,8.5,
delay_family,\b(delays?|delayed|delaying)\b,1981,114,6,122860,,9.278853980139997,19.0,
delay_family,\b(delays?|delayed|delaying)\b,1982,85,4,116162,,7.317367125221673,21.25,
delay_family,\b(delays?|delayed|delaying)\b,1983,312,8,298647,,10.447116495394226,39.0,
delay_family,\b(delays?|delayed|delaying)\b,1984,88,4,74814,,11.762504344106716,22.0,
delay_family,\b(delays?|delayed|delaying)\b,1985,125,4,64983,,19.235800132342305,31.25,
delay_family,\b(delays?|delayed|delaying)\b,1986,190,7,124754,,15.229972586049344,27.142857142857142,
delay_family,\b(delays?|delayed|delaying)\b,1987,12,5,48861,,2.455946460367164,2.4,
delay_family,\b(delays?|delayed|delaying)\b,1988,26,3,27924,,9.31098696461825,8.666666666666666,
delay_family,\b(delays?|delayed|delaying)\b,1989,11,5,39439,,2.7891173711300996,2.2,
delay_family,\b(delays?|delayed|delaying)\b,1990,2,1,11235,,1.7801513128615933,2.0,
