variant,model_type,topic,rank,keyword,weight
documented_clean_final,NMF_FALLBACK,13,1,port,0.3634815413441732
documented_clean_final,NMF_FALLBACK,13,2,surface,0.31152747514615386
documented_clean_final,NMF_FALLBACK,13,3,surface transport,0.29571800281529587
documented_clean_final,NMF_FALLBACK,13,4,transport,0.2614494703463464
documented_clean_final,NMF_FALLBACK,13,5,gsr,0.20741941013301232
documented_clean_final,NMF_FALLBACK,13,6,port trust,0.2068426862487828
documented_clean_final,NMF_FALLBACK,13,7,trust,0.17366492675512446
documented_clean_final,NMF_FALLBACK,13,8,regulation,0.15305988132212245
documented_clean_final,NMF_FALLBACK,13,9,cochin port,0.14221738346991616
documented_clean_final,NMF_FALLBACK,13,10,employees,0.1374873452492359
documented_clean_final,NMF_FALLBACK,13,11,tbe,0.13271434736071974
documented_clean_final,NMF_FALLBACK,13,12,cochin,0.1186387744780059
documented_clean_final,NMF_FALLBACK,13,13,recruitment,0.11801322337359775
documented_clean_final,NMF_FALLBACK,13,14,fees order,0.10893694510839044
documented_clean_final,NMF_FALLBACK,13,15,port employees,0.10693178695419
documented_clean_final,NMF_FALLBACK,13,16,foot,0.104717858665513
documented_clean_final,NMF_FALLBACK,13,17,order,0.10341120287525658
documented_clean_final,NMF_FALLBACK,13,18,gazette,0.1000271681148672
documented_clean_final,NMF_FALLBACK,13,19,notification,0.09820222722295636
documented_clean_final,NMF_FALLBACK,13,20,trust employees,0.09764156706360776
documented_clean_final,NMF_FALLBACK,14,1,consumer,0.3717393705363648
documented_clean_final,NMF_FALLBACK,14,2,food,0.3234445892797268
documented_clean_final,NMF_FALLBACK,14,3,public distribution,0.27871331088982815
documented_clean_final,NMF_FALLBACK,14,4,food public,0.271648392394069
documented_clean_final,NMF_FALLBACK,14,5,consumer affairs,0.20684753424850905
documented_clean_final,NMF_FALLBACK,14,6,distribution,0.20252469298041456
documented_clean_final,NMF_FALLBACK,14,7,vegetable,0.16966560850373458
documented_clean_final,NMF_FALLBACK,14,8,packages,0.1685729567583705
documented_clean_final,NMF_FALLBACK,14,9,affairs food,0.16783487350710793
